match_id,set,w_games,l_games,w_tb_pt,l_tb_pt,w_tbs,l_tbs
152973,4,6,4,,,,
152973,5,6,4,,,,
152974,1,1,6,,,,
152974,2,7,5,,,,
152974,3,6,3,,,,
152974,4,7,5,,,,
152975,1,6,4,,,,
152975,2,6,4,,,,
152975,3,7,6,7,1,1,
152976,1,6,4,,,,
152976,2,4,2,,,,
152977,1,6,4,,,,
152977,2,4,6,,,,
152977,3,3,6,,,,
152977,4,6,2,,,,
152977,5,6,1,,,,
152978,1,7,6,7,5,1,
152978,2,6,3,,,,
152978,3,7,6,7,2,1,
152979,1,3,6,,,,
152979,2,4,6,,,,
152979,3,6,3,,,,
152979,4,6,4,,,,
152979,5,6,4,,,,
152980,1,6,1,,,,
152980,2,6,2,,,,
152980,3,4,6,,,,
152980,4,1,6,,,,
152980,5,6,2,,,,
152981,1,7,6,7,5,1,
152981,2,3,6,,,,
152981,3,6,0,,,,
152981,4,7,5,,,,
152982,1,6,4,,,,
152982,2,6,1,,,,
152982,3,6,1,,,,
152983,1,6,3,,,,
152983,2,6,2,,,,
152983,3,6,1,,,,
152984,1,1,6,,,,
152984,2,7,6,8,6,1,
152984,3,6,2,,,,
152984,4,6,2,,,,
152985,1,6,4,,,,
152985,2,5,7,,,,
152985,3,6,2,,,,
152985,4,7,5,,,,
152986,1,3,6,,,,
152986,2,6,3,,,,
152986,3,6,4,,,,
152987,1,3,6,,,,
152987,2,6,2,,,,
152987,3,7,6,7,5,1,
152987,4,6,4,,,,
152988,1,6,4,,,,
152988,2,6,2,,,,
152988,3,3,0,,,,
152989,1,6,4,,,,
152989,2,6,4,,,,
152989,3,6,3,,,,
152990,1,6,7,4,7,,1
152990,2,6,2,,,,
152990,3,3,6,,,,
152990,4,6,2,,,,
152990,5,6,3,,,,
152991,1,6,1,,,,
152991,2,6,4,,,,
152991,3,6,4,,,,
152992,1,6,1,,,,
152992,2,6,3,,,,
152992,3,4,6,,,,
152992,4,5,7,,,,
152992,5,6,4,,,,
152993,1,5,7,,,,
152993,2,6,4,,,,
152993,3,6,2,,,,
152993,4,4,6,,,,
152993,5,6,3,,,,
152994,1,2,6,,,,
152994,2,6,0,,,,
152994,3,6,4,,,,
152994,4,6,2,,,,
152995,1,7,5,,,,
152995,2,7,6,10,8,1,
152995,3,1,6,,,,
152995,4,3,6,,,,
152995,5,6,2,,,,
152996,1,3,6,,,,
152996,2,1,6,,,,
152996,3,6,4,,,,
152996,4,6,1,,,,
152996,5,6,1,,,,
152997,1,6,3,,,,
152997,2,4,6,,,,
152997,3,6,4,,,,
152997,4,6,3,,,,
152998,1,7,5,,,,
152998,2,6,4,,,,
152998,3,6,4,,,,
152999,1,7,6,7,4,1,
152999,2,6,3,,,,
152999,3,7,6,8,6,1,
153000,1,6,0,,,,
153000,2,4,0,,,,
153001,1,7,5,,,,
153001,2,6,2,,,,
153001,3,6,2,,,,
153002,1,6,4,,,,
153002,2,7,5,,,,
153002,3,6,3,,,,
153003,1,4,6,,,,
153003,2,6,1,,,,
153003,3,6,1,,,,
153003,4,3,6,,,,
153003,5,8,6,,,,
153004,1,3,6,,,,
153004,2,6,3,,,,
153004,3,7,6,7,3,1,
153004,4,6,3,,,,
153005,1,7,6,7,4,1,
153005,2,3,6,,,,
153005,3,6,3,,,,
153005,4,6,4,,,,
153007,1,6,1,,,,
153007,2,6,0,,,,
153007,3,7,6,7,4,1,
153008,1,3,6,,,,
153008,2,6,1,,,,
153008,3,7,6,7,3,1,
153008,4,6,3,,,,
153009,1,7,6,7,3,1,
153009,2,6,4,,,,
153009,3,5,7,,,,
153009,4,6,1,,,,
153010,1,4,6,,,,
153010,2,6,3,,,,
153010,3,6,7,4,7,,1
153010,4,6,4,,,,
153010,5,6,0,,,,
153011,1,4,6,,,,
153011,2,6,3,,,,
153011,3,2,6,,,,
153011,4,7,6,7,5,1,
153011,5,10,8,,,,
153012,1,7,5,,,,
153012,2,7,6,7,4,1,
153012,3,6,2,,,,
153013,1,6,3,,,,
153013,2,6,1,,,,
153013,3,3,6,,,,
153013,4,6,3,,,,
153014,1,6,4,,,,
153014,2,6,3,,,,
153014,3,6,4,,,,
153015,1,6,0,,,,
153015,2,6,1,,,,
